width,thickness,transmission
1.19E-06,6.90E-07,0.998004
1.20E-06,6.90E-07,0.997991
1.21E-06,6.90E-07,0.997946
1.22E-06,6.90E-07,0.997947
1.23E-06,6.90E-07,0.997948
1.24E-06,6.90E-07,0.997949
1.25E-06,6.90E-07,0.99795
1.19E-06,6.95E-07,0.997939
1.20E-06,6.95E-07,0.997941
1.21E-06,6.95E-07,0.997947
1.22E-06,6.95E-07,0.997948
1.23E-06,6.95E-07,0.997949
1.24E-06,6.95E-07,0.99795
1.25E-06,6.95E-07,0.997952
1.19E-06,7.00E-07,0.997943
1.20E-06,7.00E-07,0.997945
1.21E-06,7.00E-07,0.99795
1.22E-06,7.00E-07,0.997951
1.23E-06,7.00E-07,0.997953
1.24E-06,7.00E-07,0.997954
1.25E-06,7.00E-07,0.997955
1.19E-06,7.05E-07,0.99795
1.20E-06,7.05E-07,0.997952
1.21E-06,7.05E-07,0.997958
1.22E-06,7.05E-07,0.997959
1.23E-06,7.05E-07,0.997961
1.24E-06,7.05E-07,0.997963
1.25E-06,7.05E-07,0.997964
1.19E-06,7.10E-07,0.997954
1.20E-06,7.10E-07,0.997956
1.21E-06,7.10E-07,0.997961
1.21E-06,7.10E-07,0.998045
1.21E-06,7.10E-07,0.998099
1.22E-06,7.10E-07,0.997963
1.23E-06,7.10E-07,0.997964
1.24E-06,7.10E-07,0.997965
1.25E-06,7.10E-07,0.997967
1.19E-06,7.15E-07,0.997955
1.20E-06,7.15E-07,0.997957
1.21E-06,7.15E-07,0.997963
1.22E-06,7.15E-07,0.997964
1.23E-06,7.15E-07,0.997966
1.24E-06,7.15E-07,0.997968
1.25E-06,7.15E-07,0.99797
1.19E-06,7.20E-07,0.997957
1.20E-06,7.20E-07,0.99796
1.21E-06,7.20E-07,0.997965
1.22E-06,7.20E-07,0.997967
1.23E-06,7.20E-07,0.997969
1.24E-06,7.20E-07,0.997971
1.25E-06,7.20E-07,0.997972
1.19E-06,7.25E-07,0.997959
1.20E-06,7.25E-07,0.997961
1.21E-06,7.25E-07,0.997967
1.22E-06,7.25E-07,0.997969
1.23E-06,7.25E-07,0.997971
1.24E-06,7.25E-07,0.997974
1.25E-06,7.25E-07,0.997976
1.19E-06,7.30E-07,0.997961
1.20E-06,7.30E-07,0.997964
1.21E-06,7.30E-07,0.99797
1.22E-06,7.30E-07,0.997972
1.23E-06,7.30E-07,0.997974
1.24E-06,7.30E-07,0.997976
1.25E-06,7.30E-07,0.997978
