width,thickness,transmission
1.15E-06,6.50E-07,0.997955
1.17E-06,6.50E-07,0.997913
1.19E-06,6.50E-07,0.99792
1.21E-06,6.50E-07,0.997927
1.23E-06,6.50E-07,0.997986
1.25E-06,6.50E-07,0.997931
1.15E-06,6.70E-07,0.99791
1.17E-06,6.70E-07,0.997923
1.19E-06,6.70E-07,0.99793
1.21E-06,6.70E-07,0.997937
1.23E-06,6.70E-07,0.997939
1.25E-06,6.70E-07,0.997941
1.15E-06,6.90E-07,0.997921
1.17E-06,6.90E-07,0.997933
1.19E-06,6.90E-07,0.997939
1.21E-06,6.90E-07,1.64E-06
1.23E-06,6.90E-07,0.997948
1.25E-06,6.90E-07,0.99795
1.15E-06,7.10E-07,0.997937
1.17E-06,7.10E-07,0.997948
1.19E-06,7.10E-07,0.997954
1.21E-06,7.10E-07,0.99802
1.23E-06,7.10E-07,0.998008
1.25E-06,7.10E-07,0.997967
1.15E-06,7.30E-07,0.997945
1.17E-06,7.30E-07,0.997956
1.19E-06,7.30E-07,0.997961
1.21E-06,7.30E-07,0.99797
1.23E-06,7.30E-07,0.997974
1.25E-06,7.30E-07,0.997978
1.15E-06,7.50E-07,0.99795
1.17E-06,7.50E-07,0.997962
1.19E-06,7.50E-07,0.997969
1.21E-06,7.50E-07,0.997979
1.23E-06,7.50E-07,0.997983
1.25E-06,7.50E-07,0.997988
